Start Time;06/05/2026 09:39:35

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
8,675;-0,005859375;
8,7;-0,005859375;
8,722;-0,005859375;
8,748;-0,005859375;
8,762;-0,005859375;
8,779;-0,005859375;
8,794;-0,005859375;
8,809;-0,005859375;
8,824;-0,005859375;
8,84;-0,005859375;
8,856;-0,005859375;
8,873;-0,005859375;
8,887;-0,005859375;
8,903;-0,005859375;
8,919;-0,005859375;
8,934;-0,005859375;
8,95;-0,005859375;
8,966;-0,005859375;
8,987;-0,005859375;
9,013;-0,005859375;
9,034;-0,005859375;
9,061;-0,005859375;
9,077;-0,005859375;
9,094;-0,005859375;
9,124;-0,005859375;
9,137;-0,005859375;
9,154;-0,005859375;
9,168;-0,005859375;
9,183;-0,005859375;
9,199;-0,005859375;
9,22;-0,005859375;
9,251;-0,005859375;
9,277;-0,005859375;
9,292;-0,005859375;
9,312;-0,005859375;
9,339;-0,005859375;
9,356;-0,005859375;
9,375;-0,005859375;
9,403;-0,005859375;
9,419;-0,005859375;
9,432;-0,005859375;
9,449;-0,005859375;
9,464;-0,005859375;
9,48;-0,005859375;
9,496;-0,005859375;
9,509;-0,005859375;
9,526;-0,005859375;
9,542;-0,005859375;
9,569;-0,005859375;
9,587;-0,005859375;
9,599;-0,005859375;
9,621;-0,005859375;
9,648;-0,005859375;
9,662;-0,005859375;
9,681;-0,005859375;
9,709;-0,005859375;
9,723;-0,005859375;
9,743;-0,005859375;
9,756;-0,005859375;
9,772;-0,005859375;
9,787;-0,005859375;
9,809;-0,005859375;
9,835;-0,005859375;
9,85;-0,005859375;
9,867;-0,005859375;
9,881;-0,005859375;
9,895;-0,005859375;
9,911;-0,005859375;
9,934;-0,005859375;
9,96;-0,005859375;
9,979;-0,005859375;
9,993;-0,005859375;
10,01;-0,005859375;
10,028;-0,005859375;
10,057;-0,005859375;
10,072;-0,005859375;
10,088;-0,005859375;
10,106;-0,005859375;
10,14;-0,005859375;
10,171;-0,005859375;
10,199;-0,005859375;
10,232;-0,005859375;
10,26;-0,005859375;
10,292;-0,005859375;
10,323;-0,005859375;
10,354;-0,005859375;
10,38;-0,005859375;
10,396;-0,005859375;
10,414;-0,005859375;
10,449;-0,005859375;
10,474;-0,005859375;
10,491;-0,005859375;
10,526;-0,005859375;
10,552;-0,005859375;
10,571;-0,005859375;
10,596;-0,005859375;
10,612;-0,005859375;
10,628;-0,005859375;
10,642;-0,005859375;
10,661;-0,005859375;
10,673;-0,005859375;
10,691;-0,005859375;
10,705;-0,005859375;
10,72;-0,005859375;
10,739;-0,005859375;
10,755;-0,005859375;
10,794;-0,005859375;
10,814;-0,005859375;
10,829;-0,005859375;
10,847;-0,005859375;
10,879;-0,005859375;
10,906;-0,005859375;
10,922;-0,005859375;
10,937;-0,005859375;
10,954;-0,005859375;
10,973;-0,005859375;
11;-0,005859375;
11,015;-0,005859375;
11,031;-0,005859375;
11,045;-0,005859375;
11,068;-0,005859375;
11,093;-0,005859375;
11,109;-0,005859375;
11,131;-0,005859375;
11,156;-0,005859375;
11,173;-0,005859375;
11,188;-0,005859375;
11,208;-0,005859375;
11,236;-0,005859375;
11,251;-0,005859375;
11,268;-0,005859375;
11,282;-0,005859375;
11,297;-0,005859375;
11,319;-0,005859375;
11,343;-0,005859375;
11,357;-0,005859375;
11,381;-0,005859375;
11,407;-0,005859375;
11,421;-0,005859375;
11,438;-0,005859375;
11,452;-0,005859375;
11,468;-0,005859375;
11,483;-0,005859375;
11,5;-0,005859375;
11,512;-0,005859375;
11,53;-0,005859375;
11,543;-0,005859375;
11,562;-0,005859375;
11,592;-0,005859375;
11,606;-0,005859375;
11,622;-0,005859375;
11,636;-0,005859375;
11,654;-0,005859375;
11,666;-0,005859375;
11,684;-0,005859375;
11,698;-0,005859375;
11,716;-0,005859375;
11,731;-0,005859375;
11,751;-0,005859375;
11,781;-0,005859375;
11,814;-0,005859375;
11,841;-0,005859375;
11,857;-0,005859375;
11,874;-0,005859375;
11,889;-0,005859375;
11,904;-0,005859375;
11,927;-0,005859375;
11,951;-0,005859375;
11,965;-0,005859375;
11,982;-0,005859375;
11,998;-0,005859375;
12,014;-0,005859375;
12,03;-0,005859375;
12,047;-0,005859375;
12,075;-0,005859375;
12,09;-0,005859375;
12,105;-0,005859375;
12,123;-0,005859375;
12,155;-0,005859375;
12,183;-0,005859375;
12,197;-0,005859375;
12,215;-0,005859375;
12,228;-0,005859375;
12,248;-0,005859375;
12,284;-0,005859375;
12,306;-0,005859375;
12,323;-0,005859375;
12,338;-0,005859375;
12,354;-0,005859375;
12,383;-0,005859375;
12,404;-0,005859375;
12,432;-0,005859375;
12,46;-0,005859375;
12,475;-0,005859375;
12,491;-0,005859375;
12,507;-0,005859375;
12,528;-0,005859375;
12,556;-0,005859375;
12,583;-0,005859375;
12,599;-0,005859375;
12,614;-0,005859375;
12,631;-0,005859375;
12,65;-0,005859375;
12,676;-0,005859375;
12,691;-0,005859375;
12,708;-0,005859375;
12,722;-0,005859375;
12,744;-0,005859375;
12,771;-0,005859375;
12,786;-0,005859375;
12,805;-0,005859375;
12,836;-0,005859375;
12,865;-0,005859375;
12,879;-0,005859375;
12,893;-0,005859375;
12,913;-0,005859375;
12,925;-0,005859375;
12,95;-0,005859375;
12,98;0,001953125;
13,241;0,001953125;
13,266;0,001953125;
13,281;0,001953125;
13,298;0,001953125;
13,315;0,001953125;
13,328;0,001953125;
13,345;0,001953125;
13,364;0,001953125;
13,395;0,001953125;
13,428;0,001953125;
13,455;0,001953125;
13,473;0,001953125;
13,505;0,001953125;
13,531;0,001953125;
13,547;0,001953125;
13,563;0,001953125;
13,579;0,001953125;
13,594;0,001953125;
13,608;0,001953125;
13,624;0,001953125;
13,645;0,001953125;
13,668;0,001953125;
