Start Time;06/05/2026 13:36:34

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
15,332;-3;
15,345;-3;
15,363;-3;
15,379;-3;
15,394;-3;
15,41;-2;
15,428;-1;
15,455;-3;
15,472;-3;
15,488;-3;
15,505;-3;
15,532;-3;
15,552;-3;
15,579;-2;
15,594;-3;
15,609;-3;
15,626;-1;
15,642;-3;
15,659;-3;
15,674;-3;
15,692;-3;
15,719;-3;
15,738;-3;
15,763;-3;
15,779;-3;
15,796;-3;
15,812;-3;
15,827;-3;
15,842;-3;
15,856;-3;
15,873;-3;
15,888;-3;
15,905;-3;
15,923;-3;
15,951;-3;
15,966;-3;
15,987;-3;
16,013;-3;
16,027;-3;
16,045;-3;
16,061;-3;
16,075;-3;
16,091;-3;
16,105;-3;
16,121;-3;
16,137;-3;
16,155;-3;
16,17;-3;
16,186;-3;
16,205;-3;
16,232;-3;
16,249;-3;
16,28;-3;
16,305;-3;
16,321;-3;
16,337;-3;
16,353;-3;
16,376;-3;
16,401;-3;
16,422;-3;
16,45;-3;
16,463;-3;
16,479;-3;
16,496;-3;
16,509;-3;
16,526;-3;
16,54;-3;
16,556;-3;
16,572;-3;
16,588;-3;
16,604;-3;
16,618;-3;
16,633;-3;
16,65;-3;
16,669;-3;
16,703;-3;
16,727;-3;
16,742;-3;
16,759;-3;
16,776;-3;
16,79;-3;
16,806;-3;
16,82;-3;
16,838;-3;
16,85;-3;
16,871;-3;
16,903;-3;
16,928;-3;
16,944;-3;
16,96;-3;
16,975;-3;
16,989;-3;
17,006;-3;
17,02;-3;
17,034;-3;
17,053;-3;
17,073;-3;
17,105;-3;
17,131;-3;
17,148;-3;
17,167;-3;
17,193;-3;
17,214;-3;
17,239;-3;
17,255;-3;
17,27;-3;
17,285;-3;
17,301;-3;
17,318;-3;
17,333;-3;
17,347;-3;
17,367;-3;
17,396;-3;
17,424;-3;
17,442;-3;
17,473;-3;
17,501;-3;
17,524;-3;
17,548;-3;
17,562;-3;
17,584;-3;
17,616;-3;
17,64;-3;
17,656;-3;
17,673;-3;
17,686;-3;
17,703;-3;
17,719;-3;
17,734;-3;
17,749;-3;
17,768;-1;
17,781;-3;
17,797;-3;
17,813;-3;
17,833;-3;
17,866;-3;
17,891;-3;
17,913;-3;
17,937;-3;
17,952;-3;
17,969;-3;
17,984;-3;
17,999;-3;
18,014;-3;
18,032;-3;
18,045;-3;
18,061;-3;
18,077;-3;
18,093;-3;
18,107;-3;
18,129;-3;
18,157;-3;
18,186;-3;
18,199;-3;
18,217;-3;
18,23;-3;
18,247;-3;
18,268;-3;
18,295;-3;
18,309;-3;
18,326;-3;
18,342;-3;
18,361;-3;
18,386;-3;
18,405;-3;
0;-0,005859375;
0;-0,005859375;
0,015;-0,005859375;
0,03;-0,005859375;
0,046;-0,005859375;
0,062;-0,005859375;
0,078;-0,005859375;
0,093;-0,005859375;
0,116;-0,005859375;
0,148;-0,005859375;
0,171;-0,005859375;
0,188;-0,005859375;
0,208;-0,005859375;
0,237;-0,005859375;
0,265;-0,005859375;
0,282;-0,005859375;
0,296;-0,005859375;
0,313;-0,005859375;
0,333;-0,005859375;
0,363;-0,005859375;
0,395;-0,005859375;
0,427;-0,005859375;
0,452;-0,001953125;
0,468;-0,005859375;
0,486;-0,005859375;
0,5;-0,005859375;
0,519;-0,005859375;
0,55;-0,005859375;
0,585;-0,005859375;
0,616;-0,005859375;
0,647;-0,005859375;
0,681;-0,005859375;
0,703;-0,005859375;
0,718;-0,005859375;
0,735;-0,005859375;
0,764;-0,005859375;
0,778;-0,005859375;
0,8;-0,005859375;
0,832;-0,005859375;
0,865;-0,005859375;
0,893;-0,005859375;
0,928;-0,005859375;
0,95;-0,001953125;
0,968;-0,005859375;
1;-0,005859375;
1,013;-0,005859375;
1,031;-0,005859375;
1,045;-0,005859375;
1,06;-0,005859375;
1,073;-0,005859375;
1,099;-0,005859375;
1,124;-0,005859375;
1,151;-0,005859375;
1,176;-0,005859375;
1,207;-0,005859375;
1,231;-0,005859375;
1,245;-0,005859375;
1,263;-0,005859375;
1,282;-0,005859375;
1,315;-0,005859375;
1,347;-0,005859375;
1,38;-0,001953125;
1,408;0,001953125;
1,443;0,001953125;
1,466;0,001953125;
1,483;-0,00390625;
1,497;0,001953125;
1,516;0,001953125;
1,545;-0,00390625;
1,558;-0,001953125;
1,58;-0,005859375;
1,605;-0,005859375;
1,63;0,001953125;
1,658;0,001953125;
1,689;0,001953125;
1,721;0,001953125;
1,751;-0,001953125;
1,782;0;
1,81;0,001953125;
1,825;0,001953125;
1,839;0,001953125;
1,858;0,001953125;
1,89;0,001953125;
1,921;0;
1,952;-0,001953125;
1,982;0,001953125;
2,011;-0,001953125;
2,023;0;
2,046;0,001953125;
2,073;0,001953125;
2,086;0,001953125;
2,11;0,001953125;
2,138;0,001953125;
2,175;0,001953125;
2,202;0,001953125;
2,229;0,001953125;
2,245;0,001953125;
2,26;-0,001953125;
2,275;0,001953125;
2,289;0,001953125;
2,304;0,001953125;
2,321;0,001953125;
2,338;0,001953125;
2,372;0,001953125;
2,4;0,001953125;
2,428;0,001953125;
2,444;0,001953125;
2,46;-0,00390625;
2,475;0;
2,487;-0,005859375;
2,505;-0,005859375;
2,524;-0,005859375;
2,557;0,001953125;
2,592;-0,001953125;
2,622;-0,00390625;
2,654;0,001953125;
2,678;-0,001953125;
2,691;-0,00390625;
2,714;0;
2,739;-0,001953125;
2,757;-0,00390625;
2,79;-0,001953125;
2,818;-0,005859375;
2,835;-0,005859375;
2,855;-0,005859375;
2,886;-0,001953125;
2,915;0,001953125;
2,947;-0,001953125;
2,973;-0,00390625;
2,992;-0,005859375;
3,02;-0,005859375;
3,038;-0,005859375;
3,054;-0,001953125;
3,066;-0,005859375;
3,083;-0,005859375;
3,097;-0,005859375;
3,122;-0,005859375;
3,144;-0,005859375;
3,166;0;
3,192;-0,001953125;
3,22;0;
3,235;-0,005859375;
3,253;-0,001953125;
3,287;-0,005859375;
3,316;-0,001953125;
3,346;0;
3,373;-0,00390625;
3,395;-0,005859375;
3,425;-0,005859375;
3,451;-0,005859375;
3,467;-0,005859375;
3,483;-0,005859375;
3,5;-0,005859375;
3,52;-0,005859375;
3,548;-0,005859375;
3,566;-0,005859375;
3,598;-0,005859375;
3,625;-0,005859375;
3,638;-0,005859375;
3,658;-0,005859375;
3,689;-0,005859375;
3,723;-0,005859375;
3,75;-0,005859375;
3,763;-0,001953125;
3,781;-0,005859375;
3,797;-0,005859375;
3,826;-0,005859375;
3,842;-0,005859375;
3,855;-0,005859375;
3,871;-0,005859375;
3,891;-0,005859375;
3,918;-0,005859375;
3,933;-0,005859375;
3,952;-0,005859375;
3,978;-0,005859375;
3,997;-0,005859375;
4,018;-0,005859375;
4,043;-0,005859375;
4,06;-0,005859375;
4,094;-0,005859375;
4,123;-0,005859375;
