Start Time;08/05/2026 15:09:27

Time(s);COM5 - PPS Sensor (N);(Selected Full Scale Range: 1N)
8,148;0,001953125;
8,162;0,001953125;
8,176;0,001953125;
8,193;0,001953125;
8,21;0,001953125;
8,225;0,001953125;
8,241;0,001953125;
8,256;0,001953125;
8,276;0,001953125;
8,302;0,001953125;
8,317;0,001953125;
8,334;0,001953125;
8,348;0,001953125;
8,365;0,001953125;
8,381;0,001953125;
8,395;0,001953125;
8,41;0,001953125;
8,428;0;
8,457;0,001953125;
8,473;0,001953125;
8,492;0,001953125;
8,52;0,001953125;
8,535;0,001953125;
8,552;-0,001953125;
8,569;0,001953125;
8,596;0,001953125;
8,611;0,001953125;
8,627;0,001953125;
8,642;0,001953125;
8,659;0,001953125;
8,675;0,001953125;
8,692;0,001953125;
8,705;0,001953125;
8,723;0,001953125;
8,75;0,001953125;
8,769;0,001953125;
8,805;0,001953125;
8,827;0,001953125;
8,843;0,001953125;
8,858;0,001953125;
8,876;0,001953125;
8,895;0,001953125;
8,922;-0,001953125;
8,937;0,001953125;
8,953;0,001953125;
8,967;0,001953125;
8,984;0,001953125;
9;0,001953125;
9,014;0,001953125;
9,03;0,001953125;
9,045;0,001953125;
9,06;0,001953125;
9,077;0,001953125;
9,093;0,001953125;
9,109;0,001953125;
9,125;0,001953125;
9,14;0,001953125;
9,158;0,001953125;
9,187;0,001953125;
9,202;-0,00390625;
9,218;0,001953125;
9,234;0,001953125;
9,247;0,001953125;
9,264;-0,00390625;
9,28;0,001953125;
9,293;0,001953125;
9,312;0,001953125;
9,327;-0,001953125;
9,341;0,001953125;
9,356;-0,001953125;
9,372;0,001953125;
9,392;0,001953125;
9,423;0;
9,449;-0,001953125;
9,464;0;
9,481;0,001953125;
9,498;0;
9,526;0,001953125;
9,541;-0,001953125;
9,557;-0,001953125;
9,573;-0,005859375;
9,59;-0,005859375;
9,618;-0,005859375;
9,638;0;
9,663;-0,001953125;
9,68;0;
9,695;0;
9,712;0;
9,727;0;
9,742;0,001953125;
9,755;0,001953125;
9,774;0,001953125;
9,789;0,001953125;
9,806;0,001953125;
9,821;0,001953125;
9,84;0,001953125;
9,869;0;
9,882;0,001953125;
9,898;0;
9,916;0,001953125;
9,929;0,001953125;
9,948;0,001953125;
9,976;0,001953125;
9,992;0,001953125;
10,008;0,001953125;
10,021;0,001953125;
10,037;0,001953125;
10,054;0,001953125;
10,068;0,001953125;
10,088;0,001953125;
10,118;0,001953125;
10,147;0,001953125;
10,161;-0,001953125;
10,179;0,001953125;
10,195;0,001953125;
10,209;0,001953125;
10,224;0,001953125;
10,241;0,001953125;
10,255;-0,00390625;
10,27;0,001953125;
10,286;0,001953125;
10,303;0;
10,317;0,001953125;
10,334;0,001953125;
10,348;0,001953125;
10,363;-0,001953125;
10,379;-0,00390625;
10,394;-0,005859375;
10,411;-0,001953125;
10,426;-0,001953125;
10,446;-0,001953125;
10,472;0;
10,486;-0,005859375;
10,503;-0,005859375;
10,518;-0,005859375;
10,534;0;
10,551;0;
10,567;0,001953125;
10,586;0,001953125;
10,614;0;
10,629;0,001953125;
10,644;0,001953125;
10,659;0,001953125;
10,674;0,001953125;
10,691;0,001953125;
10,704;0;
10,723;0;
10,752;0,001953125;
10,765;0,001953125;
10,782;0,001953125;
10,798;0;
10,813;0,001953125;
10,829;0,001953125;
10,847;0,001953125;
10,874;-0,001953125;
10,891;0;
10,906;0,001953125;
10,922;0;
10,94;-0,00390625;
10,952;0,001953125;
10,97;0,001953125;
10,986;0,001953125;
10,999;0;
11,018;0,001953125;
11,031;0,001953125;
11,051;0,001953125;
11,082;0,001953125;
11,109;0,001953125;
11,123;0,001953125;
11,14;0,001953125;
11,155;0,001953125;
11,17;0,001953125;
11,19;0,001953125;
11,218;0,001953125;
11,231;0,001953125;
11,247;0,001953125;
11,265;0,001953125;
11,28;0,001953125;
11,296;0,001953125;
11,309;0,001953125;
11,328;0,001953125;
11,358;0,001953125;
11,374;0,001953125;
11,386;0,001953125;
11,402;0,001953125;
11,422;0,001953125;
11,45;0,001953125;
11,464;0,001953125;
11,481;0,001953125;
11,496;0,001953125;
11,514;0,001953125;
11,531;0,001953125;
11,566;0,001953125;
11,588;0,001953125;
11,607;0,001953125;
11,619;0,001953125;
11,636;0,001953125;
11,65;0,001953125;
11,666;0,001953125;
11,683;0,001953125;
11,697;0,001953125;
11,711;0,001953125;
11,727;0,001953125;
11,744;0,001953125;
11,758;0,001953125;
11,774;0,001953125;
11,787;0,001953125;
11,804;0,001953125;
11,819;0,001953125;
11,835;0,001953125;
11,851;0,001953125;
11,865;0,001953125;
11,89;0,001953125;
11,912;0,001953125;
11,929;0,001953125;
11,943;0,001953125;
11,96;0,001953125;
11,977;0,001953125;
11,993;0,001953125;
12,007;0,001953125;
12,022;0,001953125;
12,044;0,001953125;
12,07;0,001953125;
12,086;0,001953125;
12,101;0,001953125;
12,121;0,001953125;
12,149;0,001953125;
12,166;0,001953125;
12,182;0,001953125;
12,198;-0,001953125;
12,211;0,001953125;
12,228;0,001953125;
12,243;-0,001953125;
12,259;0,001953125;
12,275;0,001953125;
12,291;0,001953125;
12,306;0,001953125;
12,325;0,001953125;
12,358;0,001953125;
12,383;0,001953125;
12,401;0,001953125;
12,418;0,001953125;
12,446;0,001953125;
12,464;0,001953125;
12,479;0,001953125;
12,492;0,001953125;
12,506;0,001953125;
12,521;0,001953125;
12,538;0,001953125;
12,553;0,001953125;
12,57;0,001953125;
12,583;0,001953125;
12,601;0,001953125;
12,615;0,001953125;
12,633;0,001953125;
12,647;0,001953125;
12,661;0,001953125;
12,677;0,001953125;
12,694;0,001953125;
12,708;0,001953125;
12,723;0,001953125;
12,74;0,001953125;
12,755;0,001953125;
12,77;0,001953125;
12,789;0,001953125;
12,803;0,001953125;
12,822;0,001953125;
12,853;-0,001953125;
12,88;0,001953125;
12,896;0,001953125;
12,911;0,001953125;
12,928;0,001953125;
12,942;0,001953125;
12,96;0,001953125;
12,977;0,001953125;
12,992;0,001953125;
13,008;0,001953125;
13,022;0,001953125;
13,04;0,001953125;
13,053;0,001953125;
13,07;0,001953125;
13,086;0,001953125;
13,101;0,001953125;
13,117;0,001953125;
13,136;0,001953125;
13,166;0,001953125;
13,194;0,001953125;
13,209;0,001953125;
13,227;0,001953125;
13,243;0,001953125;
13,256;0,001953125;
13,272;0,001953125;
13,288;0,001953125;
13,302;0,001953125;
13,318;0,001953125;
13,335;0,001953125;
13,347;0,001953125;
13,363;0,001953125;
13,379;0,001953125;
13,395;0,001953125;
13,412;0,001953125;
13,442;0,001953125;
13,456;-0,001953125;
13,47;0,001953125;
13,485;0,001953125;
13,501;0,001953125;
13,515;0,001953125;
13,535;0,001953125;
13,562;-0,00390625;
13,579;-0,001953125;
13,595;0;
13,608;-0,001953125;
13,626;0;
13,638;-0,001953125;
13,658;0,001953125;
13,672;0;
13,688;0;
13,702;0,001953125;
13,718;-0,001953125;
13,735;-0,00390625;
13,751;-0,001953125;
13,766;0,001953125;
13,786;0,001953125;
13,81;0,001953125;
13,827;0,001953125;
13,841;0,001953125;
13,857;0;
13,875;-0,00390625;
13,904;-0,005859375;
13,918;0;
13,934;0,001953125;
13,949;0,001953125;
13,97;0,001953125;
13,996;0,001953125;
14,013;0,001953125;
14,025;0,001953125;
14,046;0,001953125;
14,076;0,001953125;
14,089;0,001953125;
14,103;0,001953125;
14,124;0,001953125;
14,15;0,001953125;
14,165;0;
14,187;0,001953125;
14,215;0,001953125;
14,248;0,001953125;
14,274;0,001953125;
14,291;0,001953125;
14,306;0,001953125;
14,322;0,001953125;
14,336;0,001953125;
14,355;0,001953125;
14,383;0,001953125;
14,4;0,001953125;
14,413;0,001953125;
14,433;0,001953125;
14,466;0,001953125;
14,49;0,001953125;
14,506;0,001953125;
14,523;0,001953125;
14,539;0,001953125;
14,553;0,001953125;
14,567;0,001953125;
14,585;0,001953125;
14,603;0,001953125;
14,614;0,001953125;
14,631;0,001953125;
14,645;0,001953125;
14,663;0,001953125;
14,677;0,001953125;
14,692;0,001953125;
14,711;-0,001953125;
14,742;0;
14,754;0,001953125;
14,774;0,001953125;
14,801;0,001953125;
14,819;0,001953125;
14,834;0,001953125;
14,851;0,001953125;
14,866;0,001953125;
14,879;0,001953125;
14,897;0,001953125;
14,917;0,001953125;
14,942;0,001953125;
14,96;0,001953125;
14,976;0,001953125;
14,995;0,001953125;
15,021;0,001953125;
15,036;0;
15,052;0,001953125;
15,069;0,001953125;
15,083;0;
15,099;0,001953125;
15,113;0;
15,129;0;
15,147;0,001953125;
15,16;0,001953125;
15,176;0,001953125;
15,19;0,001953125;
15,208;0,001953125;
15,225;0,001953125;
15,256;0,001953125;
15,272;0,001953125;
15,301;0,001953125;
15,314;0,001953125;
15,332;0,001953125;
15,345;0,001953125;
15,363;-0,001953125;
15,377;0,001953125;
15,394;0,001953125;
15,409;0,001953125;
15,426;-0,001953125;
15,442;0,001953125;
15,462;0,001953125;
15,49;-0,001953125;
15,504;0,001953125;
15,519;-0,00390625;
15,534;0,001953125;
15,551;0,001953125;
15,566;0;
15,581;0,001953125;
15,598;0,001953125;
15,612;0,001953125;
15,626;0,001953125;
15,642;0,001953125;
15,658;0,001953125;
15,676;0,001953125;
15,69;0;
15,708;0,001953125;
15,722;0,001953125;
15,735;0,001953125;
15,754;0,001953125;
15,782;0,001953125;
15,799;0,001953125;
15,812;0,001953125;
15,83;0,001953125;
15,845;0,001953125;
15,866;0,001953125;
15,891;0,001953125;
15,908;0,001953125;
15,925;0,001953125;
15,955;0,001953125;
15,967;0,001953125;
15,987;0,001953125;
16,014;0,001953125;
16,029;-0,001953125;
16,044;-0,00390625;
16,06;-0,001953125;
16,076;0;
16,09;0,001953125;
16,108;-0,001953125;
